depth	min95%	max95%	best	accrate
284	1183	1374	1251	9.62
285	1193	1384	1260	9.68
286	1203	1394	1270	9.73
287	1213	1403	1280	9.78
288	1224	1412	1289	9.83
289	1234	1421	1299	9.88
290	1244	1431	1309	9.94
291	1255	1441	1319	9.99
292	1266	1451	1329	10.04
293	1277	1460	1339	10.1
294	1288	1470	1349	10.15
295	1298	1479	1359	10.2
296	1309	1488	1370	10.25
297	1320	1498	1380	10.31
298	1330	1508	1390	10.36
299	1340	1517	1401	10.41
300	1351	1527	1411	10.46
301	1362	1536	1421	10.52
302	1374	1546	1432	10.57
303	1384	1556	1442	10.61
304	1395	1566	1453	10.66
305	1404	1576	1464	10.71
306	1415	1585	1474	10.76
307	1425	1595	1485	10.8
308	1436	1606	1496	10.85
309	1447	1618	1507	10.89
310	1458	1629	1518	10.94
311	1469	1641	1529	10.98
312	1478	1652	1540	11.02
313	1489	1663	1551	11.06
314	1499	1673	1562	11.1
315	1511	1685	1573	11.14
316	1521	1696	1584	11.18
317	1531	1708	1595	11.22
318	1541	1719	1606	11.26
319	1551	1729	1618	11.29
320	1561	1740	1629	11.33
321	1571	1751	1640	11.37
322	1580	1762	1652	11.4
323	1590	1774	1663	11.43
324	1599	1785	1675	11.47
325	1609	1796	1686	11.5
326	1619	1806	1697	11.53
327	1629	1817	1709	11.56
328	1640	1829	1721	11.59
329	1650	1840	1732	11.62
330	1660	1851	1744	11.64
331	1669	1863	1755	11.67
332	1679	1874	1767	11.7
333	1688	1886	1779	11.72
334	1698	1898	1790	11.75
335	1709	1910	1802	11.77
336	1718	1923	1814	11.79
337	1729	1935	1826	11.82
338	1738	1947	1838	11.84
339	1748	1960	1849	11.86
340	1757	1972	1861	11.88
341	1767	1983	1873	11.9
342	1777	1995	1885	11.92
343	1787	2008	1897	11.93
344	1798	2020	1909	11.95
345	1808	2032	1921	11.97
346	1817	2043	1933	11.98
347	1827	2054	1945	11.99
348	1836	2065	1957	12.01
349	1846	2077	1969	12.02
350	1855	2090	1981	12.03
351	1865	2102	1993	12.04
352	1875	2114	2005	12.05
353	1884	2125	2017	12.06
354	1894	2137	2029	12.07
355	1903	2149	2041	12.08
356	1913	2162	2053	12.09
357	1922	2175	2065	12.09
358	1932	2189	2077	12.1
359	1941	2202	2089	12.1
360	1951	2216	2102	12.11
361	1961	2229	2114	12.11
362	1970	2242	2126	12.11
363	1979	2255	2138	12.11
364	1989	2269	2150	12.12
365	1998	2283	2162	12.12
366	2007	2296	2174	12.12
367	2017	2310	2186	12.12
368	2026	2324	2198	12.12
369	2035	2338	2211	12.12
370	2045	2353	2223	12.12
371	2054	2367	2235	12.12
372	2064	2380	2247	12.12
373	2074	2395	2259	12.12
374	2083	2410	2271	12.12
375	2093	2424	2283	12.12
376	2103	2438	2295	12.12
377	2112	2453	2308	12.12
378	2122	2468	2320	12.12
379	2131	2483	2332	12.12
380	2140	2498	2344	12.12
381	2150	2513	2356	12.12
382	2159	2527	2368	12.12
383	2169	2542	2380	12.12
384	2178	2557	2392	12.12
385	2187	2572	2404	12.12
386	2196	2586	2417	12.12
387	2206	2600	2429	12.12
388	2215	2615	2441	12.12
389	2224	2629	2453	12.12
390	2234	2644	2465	12.12
391	2243	2658	2477	12.12
392	2252	2673	2489	12.12
393	2262	2688	2501	12.12
394	2271	2702	2513	12.12
395	2280	2717	2526	12.12
396	2289	2731	2538	12.12
397	2298	2746	2550	12.12
398	2307	2760	2562	12.12
399	2317	2775	2574	12.12
400	2326	2789	2586	12.12
401	2336	2804	2598	12.12
402	2346	2818	2610	12.12
403	2355	2833	2623	12.12
404	2365	2847	2635	12.12
405	2374	2862	2647	12.12
406	2384	2877	2659	12.12
407	2393	2892	2671	12.12
408	2403	2907	2683	12.12
409	2412	2921	2695	12.12
410	2421	2936	2707	12.12
411	2431	2951	2719	12.12
412	2440	2965	2732	12.12
413	2449	2980	2744	12.12
414	2458	2994	2756	12.12
415	2467	3009	2768	12.12
416	2476	3023	2780	12.12
417	2485	3038	2792	12.12
418	2494	3052	2804	12.12
419	2504	3067	2816	12.12
420	2513	3081	2828	12.12
421	2523	3096	2841	12.12
422	2532	3111	2853	12.12
423	2542	3125	2865	12.12
424	2551	3140	2877	12.12
425	2561	3154	2889	12.12
426	2570	3169	2901	12.12
427	2580	3183	2913	12.12
428	2589	3198	2925	12.12
429	2599	3212	2938	12.12
430	2608	3227	2950	12.12
431	2618	3241	2962	12.12
432	2628	3256	2974	12.12
433	2637	3270	2986	12.12
434	2647	3285	2998	12.12
435	2656	3300	3010	12.12
436	2666	3314	3022	12.12
437	2675	3329	3034	12.12
438	2685	3343	3047	12.12
439	2694	3358	3059	12.12
440	2704	3372	3071	12.12
441	2713	3387	3083	12.12
442	2723	3401	3095	12.12
443	2732	3416	3107	12.12
444	2742	3430	3119	12.12
445	2751	3445	3131	12.12
446	2761	3460	3143	12.12
447	2770	3474	3156	12.12
448	2780	3489	3168	12.12
449	2789	3503	3180	12.12
450	2799	3518	3192	12.12
451	2808	3532	3204	12.12
452	2818	3547	3216	12.12
453	2827	3561	3228	12.12
454	2837	3576	3240	12.12
455	2846	3590	3253	12.12
456	2855	3605	3265	12.12
457	2865	3619	3277	12.12
458	2874	3634	3289	12.12
459	2884	3649	3301	12.12
460	2893	3663	3313	12.12
461	2902	3678	3325	12.12
462	2912	3692	3337	12.12
463	2921	3707	3349	12.12
464	2931	3721	3362	12.12
465	2940	3736	3374	12.12
466	2950	3750	3386	12.12
467	2959	3765	3398	12.12
468	2968	3779	3410	12.12
469	2978	3794	3422	12.12
470	2987	3808	3434	4823.38
471	8033	8532	8258	36.04
472	8074	8564	8294	36.04
473	8114	8596	8330	36.04
474	8154	8629	8366	36.04
475	8195	8660	8402	36.04
476	8235	8692	8438	36.04
477	8278	8724	8474	36.04
478	8320	8756	8510	36.04
479	8360	8788	8546	36.04
480	8401	8820	8582	36.04
481	8441	8852	8618	36.04
482	8482	8883	8654	36.04
483	8521	8913	8690	36.04
484	8561	8944	8726	36.04
485	8601	8976	8762	36.04
486	8638	9009	8798	36.04
487	8676	9041	8834	36.04
488	8715	9072	8870	36.04
489	8754	9104	8906	36.03
490	8793	9137	8942	36.03
491	8829	9171	8978	36.02
492	8867	9202	9014	36.01
493	8904	9235	9050	36
494	8941	9268	9086	35.99
495	8978	9301	9122	35.98
496	9015	9333	9158	35.97
497	9052	9365	9194	35.95
498	9088	9398	9230	35.94
499	9126	9431	9266	35.92
500	9163	9468	9302	35.9
501	9200	9501	9338	35.89
502	9236	9535	9374	35.87
503	9273	9568	9410	35.84
504	9312	9599	9446	35.82
505	9348	9635	9482	35.8
506	9384	9672	9517	35.77
507	9422	9708	9553	35.75
508	9458	9743	9589	35.72
509	9496	9778	9625	35.69
510	9532	9816	9660	35.66
511	9569	9851	9696	35.63
512	9606	9889	9732	35.6
513	9642	9927	9767	35.57
514	9679	9967	9803	35.53
515	9716	10004	9838	35.5
516	9752	10041	9874	35.46
517	9788	10077	9909	35.43
518	9826	10116	9945	35.39
519	9863	10153	9980	35.35
520	9899	10188	10015	35.31
521	9936	10223	10051	35.26
522	9971	10258	10086	35.22
523	10006	10290	10121	35.17
524	10041	10324	10156	35.13
525	10075	10360	10192	35.08
526	10110	10395	10227	35.03
527	10144	10429	10262	34.98
528	10179	10467	10297	34.93
529	10214	10504	10332	34.88
530	10248	10537	10366	34.83
531	10282	10568	10401	34.77
532	10316	10603	10436	34.72
533	10350	10638	10471	34.66
534	10384	10673	10505	34.6
535	10418	10708	10540	34.55
536	10451	10740	10575	34.49
537	10487	10772	10609	34.43
538	10522	10805	10643	34.37
539	10556	10839	10678	34.33
540	10590	10877	10712	34.29
541	10625	10911	10746	34.25
542	10660	10944	10781	34.23
543	10696	10978	10815	34.21
544	10731	11017	10849	34.2
545	10766	11055	10883	34.2
546	10801	11093	10918	34.2
547	10836	11130	10952	34.21
548	10871	11164	10986	34.23
549	10905	11202	11020	34.26
550	10940	11239	11054	34.29
551	10976	11270	11089	34.33
552	11009	11305	11123	34.38
553	11042	11343	11157	34.43
554	11077	11381	11192	34.5
555	11111	11419	11226	34.56
556	11146	11458	11261	34.64
557	11181	11496	11296	34.73
558	11216	11532	11330	34.82
559	11252	11570	11365	34.91
560	11288	11608	11400	35.01
561	11322	11644	11435	35.11
562	11358	11682	11470	35.2
563	11394	11721	11505	35.3
564	11429	11759	11541	35.39
565	11465	11797	11576	35.49
566	11501	11834	11612	35.58
567	11536	11870	11647	35.67
568	11571	11907	11683	35.76
569	11605	11946	11719	35.85
570	11640	11983	11754	35.94
571	11675	12019	11790	36.03
572	11709	12056	11826	36.12
573	11744	12093	11862	36.2
574	11781	12131	11899	36.29
575	11815	12169	11935	36.37
576	11851	12207	11971	36.46
577	11887	12245	12008	36.54
578	11922	12282	12044	36.62
579	11958	12319	12081	36.7
580	11993	12356	12118	36.78
581	12029	12394	12154	36.86
582	12065	12431	12191	36.94
583	12102	12469	12228	37.02
584	12139	12507	12265	37.1
585	12175	12545	12302	37.17
586	12212	12583	12340	37.25
587	12248	12620	12377	37.32
588	12284	12657	12414	37.39
589	12320	12695	12451	37.47
590	12356	12733	12489	37.54
591	12393	12770	12526	37.61
592	12430	12807	12564	37.68
593	12467	12844	12602	37.75
594	12504	12882	12640	37.82
595	12540	12920	12677	37.88
596	12577	12957	12715	37.95
597	12614	12996	12753	38.02
598	12651	13034	12791	38.08
599	12689	13071	12829	38.14
600	12727	13108	12867	38.21
